Date,Open,High,Low,Close,Volume
2026-03-09 09:30,607.50,609.20,606.80,608.40,14200000
2026-03-09 10:30,608.40,609.80,607.60,608.90,9800000
2026-03-09 11:30,608.90,610.10,608.20,609.50,7500000
2026-03-09 12:30,609.50,610.00,608.80,609.20,5200000
2026-03-09 13:30,609.20,610.50,608.90,610.10,6800000
2026-03-09 14:30,610.10,611.00,609.30,610.50,8400000
2026-03-09 15:30,610.50,611.40,609.80,607.20,11600000
2026-03-10 09:30,607.00,608.50,605.80,606.40,13800000
2026-03-10 10:30,606.40,607.20,605.50,606.00,9200000
2026-03-10 11:30,606.00,607.00,605.20,605.80,7100000
2026-03-10 12:30,605.80,606.50,604.90,605.30,5400000
2026-03-10 13:30,605.30,606.20,604.50,605.00,6200000
2026-03-10 14:30,605.00,606.00,604.20,604.80,7800000
2026-03-10 15:30,604.80,605.50,603.90,604.30,10400000
2026-03-11 09:30,604.50,606.00,603.80,605.20,13500000
2026-03-11 10:30,605.20,606.50,604.60,605.80,9000000
2026-03-11 11:30,605.80,607.00,605.20,606.40,7300000
2026-03-11 12:30,606.40,607.20,605.80,606.00,5100000
2026-03-11 13:30,606.00,607.50,605.50,607.10,6500000
2026-03-11 14:30,607.10,608.00,606.30,607.50,8200000
2026-03-11 15:30,607.50,608.20,606.80,602.80,11000000
2026-03-12 09:30,602.76,604.00,601.50,603.20,14500000
2026-03-12 10:30,603.20,604.50,602.80,603.80,9600000
2026-03-12 11:30,603.80,604.13,603.00,603.50,7400000
2026-03-12 12:30,603.50,604.00,602.50,603.00,5300000
2026-03-12 13:30,603.00,603.80,601.80,602.50,6600000
2026-03-12 14:30,602.50,603.50,601.20,601.80,8000000
2026-03-12 15:30,601.80,602.50,597.07,597.26,12200000
2026-03-13 09:30,599.82,600.50,596.80,598.20,15000000
2026-03-13 10:30,598.20,599.50,597.00,598.80,10200000
2026-03-13 11:30,598.80,600.20,598.00,599.50,7800000
2026-03-13 12:30,599.50,600.80,598.50,600.10,5600000
2026-03-13 13:30,600.10,601.50,599.20,600.80,7000000
2026-03-13 14:30,600.80,603.60,600.00,601.20,8600000
2026-03-13 15:30,601.20,602.00,592.57,593.72,16800000
