Date,Open,High,Low,Close,Volume
2025-02-03 09:30,478.50,480.20,477.80,479.90,12500000
2025-02-03 10:30,479.90,481.00,479.50,480.60,8900000
2025-02-03 11:30,480.60,482.10,480.20,481.50,7200000
2025-02-03 12:30,481.50,482.00,480.80,481.20,5400000
2025-02-03 13:30,481.20,482.50,481.00,482.30,6800000
2025-02-03 14:30,482.30,483.00,481.50,482.80,8100000
2025-02-03 15:30,482.80,483.50,482.00,483.10,9500000
2025-02-04 09:30,483.10,484.20,482.50,483.80,11200000
2025-02-04 10:30,483.80,485.00,483.50,484.50,9800000
2025-02-04 11:30,484.50,485.50,484.00,485.20,7600000
2025-02-04 12:30,485.20,486.00,484.80,485.60,5200000
2025-02-04 13:30,485.60,486.50,485.00,486.10,6400000
2025-02-04 14:30,486.10,487.00,485.50,486.80,7800000
2025-02-04 15:30,486.80,487.50,486.00,487.20,10100000
2025-02-05 09:30,487.20,488.00,486.50,487.50,12800000
2025-02-05 10:30,487.50,488.50,487.00,488.00,8500000
2025-02-05 11:30,488.00,489.00,487.50,488.60,7100000
2025-02-05 12:30,488.60,489.50,488.00,489.10,5800000
2025-02-05 13:30,489.10,490.00,488.50,489.50,6600000
2025-02-05 14:30,489.50,490.50,489.00,490.20,8200000
2025-02-05 15:30,490.20,491.00,489.50,490.80,11500000
2025-02-06 09:30,490.80,491.50,490.00,491.00,13000000
2025-02-06 10:30,491.00,492.00,490.50,491.50,9200000
2025-02-06 11:30,491.50,492.50,491.00,492.00,7400000
2025-02-06 12:30,492.00,492.80,491.50,492.30,5600000
2025-02-06 13:30,492.30,493.00,491.80,492.60,6200000
2025-02-06 14:30,492.60,493.50,492.00,493.20,8000000
2025-02-06 15:30,493.20,494.00,492.50,493.80,10800000
2025-02-07 09:30,493.80,494.50,493.00,494.00,12200000
2025-02-07 10:30,494.00,495.00,493.50,494.50,8800000
2025-02-07 11:30,494.50,495.50,494.00,495.00,7000000
2025-02-07 12:30,495.00,495.80,494.50,495.30,5400000
2025-02-07 13:30,495.30,496.00,494.80,495.60,6000000
2025-02-07 14:30,495.60,496.50,495.00,496.00,7600000
2025-02-07 15:30,496.00,497.00,495.50,486.50,10500000
