Date,Open,High,Low,Close,Volume
2025-01-02,12.50,12.80,12.40,12.65,35000000
2025-01-03,12.65,12.90,12.55,12.80,42000000
2025-01-06,12.80,13.10,12.75,13.00,38000000
2025-01-07,13.00,13.20,12.90,13.10,41000000
2025-01-08,13.10,13.30,13.00,13.15,36000000
2025-01-09,13.15,13.40,13.10,13.35,44000000
2025-01-10,13.35,13.50,13.20,13.45,39000000
2025-01-13,13.45,13.60,13.30,13.50,37000000
2025-01-14,13.50,13.70,13.40,13.60,43000000
2025-01-15,13.60,13.80,13.50,13.75,48000000
2025-01-16,13.75,13.90,13.65,13.85,45000000
2025-01-17,13.85,14.00,13.70,13.90,51000000
2025-01-20,13.90,14.10,13.80,14.05,55000000
2025-01-21,14.05,14.20,13.95,14.10,52000000
2025-01-22,14.10,14.25,14.00,14.15,49000000
2025-01-23,14.15,14.30,14.00,14.20,46000000
2025-01-24,14.20,14.35,14.10,14.25,50000000
2025-01-27,14.25,14.40,14.15,14.30,47000000
2025-01-28,14.30,14.45,14.20,14.35,53000000
2025-01-29,14.35,14.50,14.25,14.40,48000000
2025-01-30,14.40,14.55,14.30,14.45,51000000
2025-01-31,14.45,14.60,14.35,14.50,54000000
2025-02-03,14.50,14.65,14.40,14.55,49000000
2025-02-04,14.55,14.70,14.45,14.60,52000000
2025-02-05,14.60,14.75,14.50,14.65,50000000
2025-02-06,14.65,14.80,14.55,14.70,47000000
2025-02-07,14.70,14.85,14.60,14.75,53000000
2025-02-10,14.75,14.90,14.65,14.80,48000000
2025-02-11,14.80,14.95,14.70,14.85,51000000
2025-02-12,14.85,15.00,14.75,14.90,54000000
2025-02-13,14.90,15.05,14.80,14.95,56000000
2025-02-14,14.95,15.10,14.85,15.00,52000000
2025-02-17,15.00,15.15,14.90,15.05,49000000
2025-02-18,15.05,15.20,14.95,15.10,53000000
2025-02-19,15.10,15.25,15.00,15.15,50000000
2025-02-20,15.15,15.30,15.05,15.20,47000000
2025-02-21,15.20,15.35,15.10,15.25,51000000
2025-02-24,15.25,15.40,15.15,15.30,48000000
2025-02-25,15.30,15.45,15.20,15.35,54000000
2025-02-26,15.35,15.50,15.25,15.40,52000000
2025-02-27,15.40,15.55,15.30,15.45,49000000
2025-02-28,15.45,15.60,15.35,15.50,53000000
2025-03-03,15.50,15.65,15.40,15.55,50000000
2025-03-04,15.55,15.70,15.45,15.60,47000000
2025-03-05,15.60,15.75,15.50,15.65,51000000
2025-03-06,15.65,15.80,15.55,15.70,55000000
2025-03-07,15.70,15.85,15.60,15.75,58000000
2025-03-10,15.75,15.90,15.65,15.80,53000000
2025-03-11,15.80,15.95,15.70,15.85,49000000
2025-03-12,15.85,16.00,15.75,14.10,60000000
